certname,resource_type,resource_title,property,old_value,new_value,risk_score
linskylab-b5501c-0.us-west1-c.c.emea-ps-lab.internal,Package,policycoreutils-python,ensure,purged,present,5
linskylab-b5501c-0.us-west1-c.c.emea-ps-lab.internal,File_line,set-selinux-config-to-disabled,ensure,absent,present,4
linskylab-b5501c-0.us-west1-c.c.emea-ps-lab.internal,Exec,change-selinux-status-to-disabled,returns,notrun,['0'],9
linskylab-b5501c-0.us-west1-c.c.emea-ps-lab.internal,File_line,set-selinux-config-type-to-minimum,ensure,absent,present,4
linskylab-b5501c-0.us-west1-c.c.emea-ps-lab.internal,File,/etc/motd,content,[''],['+  ===================================================================\n +\n +      UNAUTHORIZED ACCESS TO THIS DEVICE IS PROHIBITED\n +\n +    You must have explicit authorized permission to access or\n +    configure this device. Unauthorized attempts and actions to\n +    access or use this system may result in civil and/or criminal\n +    penalties. All activities performed on this device are logged\n +    and monitored.\n +\n +  ===================================================================\n +\n +      Hostname:         linskylab-b5501c-0.us-west1-c.c.emea-ps-lab.internal\n +      Operating System: CentOS 7.9.2009\n +      Kernel:           Linux\n +      Domain:           us-west1-c.c.emea-ps-lab.internal\n +      IP Address:       10.253.15.232\n +      Processor:        Intel(R) Xeon(R) CPU @ 2.20GHz\n +      Memory Size:      3.70 GiB\n +      Uptime:           0 days\n +\n +  ===================================================================\n'],4
